"Participant","RT","Face_group"
"1",1.902,"Ingroup"
"1",0.968,"Ingroup"
"1",0.858,"Ingroup"
"1",1.399,"Outgroup"
"1",NA,"Outgroup"
"1",1.89,"Outgroup"
"1",1.188,"Outgroup"
"1",1.749,"Ingroup"
"1",NA,"Ingroup"
"1",1.534,"Ingroup"
"1",1.49,"Ingroup"
"1",2.67,"Ingroup"
"1",0.967,"Ingroup"
"1",1.344,"Outgroup"
"1",1.632,"Outgroup"
"1",1.1,"Outgroup"
"1",1.751,"Ingroup"
"1",1.041,"Outgroup"
"1",NA,"Outgroup"
"1",0.943,"Ingroup"
"1",0.919,"Ingroup"
"1",NA,"Ingroup"
"1",1.126,"Outgroup"
"1",1.393,"Outgroup"
"1",1.643,"Ingroup"
"1",1.225,"Ingroup"
"1",1.534,"Ingroup"
"1",0.942,"Ingroup"
"1",1.422,"Ingroup"
"1",1.279,"Outgroup"
"1",0.634,"Outgroup"
"1",0.728,"Outgroup"
"1",0.731,"Ingroup"
"1",1.681,"Ingroup"
"1",1.065,"Ingroup"
"1",1.033,"Outgroup"
"1",1.291,"Outgroup"
"1",NA,"Ingroup"
"1",0.853,"Ingroup"
"1",1.189,"Outgroup"
"1",1.282,"Ingroup"
"1",2.403,"Outgroup"
"1",1.481,"Outgroup"
"1",2.164,"Ingroup"
"1",1.207,"Ingroup"
"1",1.063,"Ingroup"
"1",1.868,"Outgroup"
"1",1.209,"Ingroup"
"1",0.749,"Ingroup"
"1",1.06,"Outgroup"
"1",1.548,"Outgroup"
"1",1.479,"Outgroup"
"1",1.317,"Outgroup"
"1",NA,"Ingroup"
"1",1.051,"Ingroup"
"1",1.056,"Ingroup"
"1",1.05,"Ingroup"
"1",1.174,"Ingroup"
"1",0.907,"Ingroup"
"1",1.083,"Outgroup"
"1",0.876,"Outgroup"
"1",1.398,"Outgroup"
"1",1.401,"Ingroup"
"1",1.265,"Outgroup"
"1",1.504,"Ingroup"
"1",0.669,"Ingroup"
"1",0.936,"Outgroup"
"1",0.696,"Ingroup"
"1",1.415,"Outgroup"
"1",1.176,"Ingroup"
"1",1.086,"Ingroup"
"1",2.077,"Ingroup"
"1",1.872,"Outgroup"
"1",1.284,"Ingroup"
"1",0.838,"Outgroup"
"1",1.12,"Outgroup"
"1",2.475,"Ingroup"
"1",0.84,"Outgroup"
"1",0.847,"Outgroup"
"1",1.411,"Ingroup"
"1",1.866,"Outgroup"
"1",1.81,"Ingroup"
"1",1.166,"Outgroup"
"1",2.141,"Ingroup"
"1",0.977,"Ingroup"
"1",1.321,"Outgroup"
"1",1.102,"Ingroup"
"1",0.818,"Ingroup"
"1",NA,"Outgroup"
"1",1.114,"Outgroup"
"1",1.397,"Outgroup"
"1",0.722,"Outgroup"
"1",1.695,"Outgroup"
"1",NA,"Ingroup"
"1",1.648,"Outgroup"
"1",2.012,"Ingroup"
"1",2.636,"Outgroup"
"1",1.636,"Outgroup"
"1",1.203,"Ingroup"
"1",NA,"Ingroup"
"1",1.309,"Ingroup"
"1",1.31,"Outgroup"
"1",1.344,"Outgroup"
"1",1.538,"Ingroup"
"1",0.924,"Outgroup"
"1",1.609,"Outgroup"
"1",0.788,"Ingroup"
"1",0.979,"Ingroup"
"1",1.911,"Ingroup"
"1",1.366,"Outgroup"
"1",1.047,"Outgroup"
"1",1.623,"Outgroup"
"1",1.191,"Outgroup"
"1",1.973,"Outgroup"
"1",1.097,"Outgroup"
"1",1.257,"Ingroup"
"1",1.055,"Outgroup"
"1",1.426,"Outgroup"
"1",1.111,"Ingroup"
"1",1.092,"Outgroup"
"1",1.55,"Outgroup"
"1",1.136,"Ingroup"
"1",1.343,"Outgroup"
"1",1.217,"Outgroup"
"1",1.265,"Ingroup"
"1",1.372,"Ingroup"
"1",1.183,"Ingroup"
"1",NA,"Ingroup"
"1",NA,"Outgroup"
"1",0.917,"Ingroup"
"1",0.6,"Ingroup"
"1",2.649,"Outgroup"
"1",NA,"Outgroup"
"1",0.75,"Ingroup"
"1",1.037,"Ingroup"
"1",0.757,"Outgroup"
"1",0.902,"Ingroup"
"1",2.51,"Ingroup"
"1",1.099,"Ingroup"
"1",1.256,"Ingroup"
"1",1.743,"Ingroup"
"1",1.029,"Ingroup"
"1",2.037,"Outgroup"
